id_product,name_product,price,coverage,risk_level,name_company
1,Some 1,1962,медичне,Low,"Weber, Long and Collins"
2,Test 2,2268,життя,Low,Macdonald LLC
3,Service 3,1946,подорожі,Low,"Osborne, Horn and Johnson"
4,System 4,2156,подорожі,Medium,"Pope, Johnson and Heath"
5,While 5,4845,подорожі,Low,Kelly Inc
6,Nice 6,3602,від нещасного випадку,Low,Brown Inc
7,Something 7,4570,життя,Low,"Webster, Stokes and Smith"
8,Center 8,2874,майнове,Low,"Johnson, Wallace and Anderson"
9,Describe 9,4706,подорожі,Medium,Perry-Fritz
10,Morning 10,1521,подорожі,Medium,Merritt Inc
11,Key 11,1281,від нещасного випадку,Medium,"Torres, Frost and Collins"
12,Thank 12,1781,життя,Medium,Thomas-Schultz
13,Allow 13,637,медичне,High,Stephens-Williams
14,Home 14,904,подорожі,Low,Taylor-Eaton
15,Identify 15,2479,життя,Medium,Saunders-Patterson
16,Nation 16,1147,майнове,Low,Thompson Group
17,Thus 17,1606,майнове,Low,Proctor Ltd
18,Laugh 18,4277,від нещасного випадку,High,Cox Ltd
19,Occur 19,1766,від нещасного випадку,Medium,Wells-Chen
20,Choice 20,123,від нещасного випадку,Low,Clark-Martin
21,Marriage 21,116,майнове,High,Pierce LLC
22,Pattern 22,4595,життя,Medium,Harris-Curtis
23,Make 23,4340,медичне,High,Moran-Sherman
24,Congress 24,1386,життя,High,Walsh Group
25,Truth 25,2804,подорожі,Medium,"Miller, Rodriguez and Hale"
26,Media 26,1495,медичне,High,Horton-Murphy
27,Small 27,1400,майнове,High,Lopez PLC
28,Anyone 28,828,подорожі,Low,"Bowen, Thompson and Aguilar"
29,Choice 29,1524,медичне,High,"Graves, Cabrera and Houston"
30,Organization 30,1300,медичне,Medium,Villanueva-Woods
31,Onto 31,4537,від нещасного випадку,Low,"Jacobs, Holden and Boone"
32,Wear 32,2093,медичне,Low,Brooks Inc
33,Material 33,2917,подорожі,Medium,Herrera Group
34,About 34,2235,медичне,Low,Jones-Woods
35,Child 35,1833,подорожі,Medium,Ibarra-Anderson
