order_id,order_date,product,client,total_price,expiration_date
1,2024-07-22,406,983,3244,2024-11-04
2,2023-05-24,246,526,1008,2023-11-29
3,2024-02-13,888,165,1577,2025-01-22
4,2022-10-12,516,309,2942,2023-09-28
5,2022-12-12,700,98,1633,2023-06-17
6,2023-03-13,329,831,2516,2024-03-02
7,2022-08-14,219,12,2328,2023-05-17
8,2024-09-24,277,888,2210,2025-05-30
9,2025-03-21,808,180,4410,2025-07-16
10,2023-03-21,880,453,3725,2023-06-01
11,2023-10-17,368,108,3266,2024-07-31
12,2022-06-05,964,446,1492,2023-05-18
13,2022-09-29,118,445,3780,2023-05-07
14,2025-01-20,553,223,1852,2025-05-31
15,2023-06-10,351,619,4509,2024-04-18
16,2024-06-25,453,110,614,2025-05-15
17,2022-07-19,385,241,1930,2023-01-06
18,2022-12-16,647,512,2946,2023-10-29
19,2023-11-22,224,865,1478,2024-04-12
20,2024-10-15,948,407,319,2025-03-20
21,2022-06-07,504,585,2852,2023-04-27
22,2023-03-09,130,108,3684,2024-02-25
23,2022-10-12,778,99,3707,2023-09-30
24,2023-09-08,566,190,1227,2024-07-12
25,2024-10-18,927,207,793,2025-08-24
26,2023-05-03,646,152,4633,2023-11-06
27,2023-06-11,104,804,2360,2023-10-27
28,2024-10-24,718,444,628,2025-08-22
29,2025-01-11,986,310,178,2025-05-03
30,2024-06-21,844,544,4123,2024-12-23
31,2022-06-20,335,100,1600,2022-08-08
32,2022-09-23,385,465,1930,2023-09-20
33,2025-01-20,615,496,1360,2025-05-01
34,2023-03-07,43,125,4400,2023-10-28
35,2023-06-22,436,883,1348,2023-11-01
36,2025-02-05,834,633,792,2025-07-08
37,2023-03-09,239,590,1232,2023-04-10
38,2024-12-04,40,552,1424,2025-11-28
39,2024-05-09,118,244,3780,2024-11-10
40,2023-03-23,517,435,4342,2024-01-31
41,2024-01-16,346,397,2388,2024-07-24
42,2024-02-05,34,105,2235,2024-11-25
43,2024-06-20,259,219,638,2025-03-20
44,2024-04-21,139,63,3811,2025-03-15
45,2024-05-09,792,995,4627,2024-10-16
46,2023-02-10,807,872,4250,2023-05-22
47,2023-05-31,993,589,4083,2024-02-03
48,2024-09-19,810,268,1457,2024-12-14
49,2023-02-26,693,465,450,2023-12-31
50,2024-12-28,327,179,3083,2025-05-22
51,2025-01-14,9,789,4706,2025-04-01
52,2023-12-21,779,995,4515,2024-07-28
53,2024-03-09,619,721,1814,2024-11-09
54,2023-03-02,517,111,4342,2023-11-04
55,2022-08-04,282,204,2265,2022-10-22
56,2022-06-25,892,115,1502,2023-06-25
57,2024-07-23,983,184,3676,2025-02-22
