payment_id,type_payment,date_payment,order_id
1,Bank Transfer,2022-10-07,806
2,Bank Transfer,2024-11-17,370
3,PayPal,2022-12-11,489
4,PayPal,2023-10-13,263
5,Bank Transfer,2023-04-05,581
6,Bank Transfer,2023-09-20,323
7,PayPal,2022-09-30,883
8,PayPal,2025-01-26,679
9,PayPal,2023-07-04,295
10,Bank Transfer,2023-05-20,911
11,PayPal,2023-11-25,300
12,Bank Transfer,2025-01-16,306
13,Credit Card,2023-09-26,862
14,PayPal,2023-06-19,382
15,Credit Card,2025-05-31,16
16,Credit Card,2024-06-02,603
17,Bank Transfer,2024-01-07,347
18,Credit Card,2023-01-11,591
19,PayPal,2023-04-18,992
20,Credit Card,2024-01-12,277
21,Credit Card,2024-09-11,262
22,Bank Transfer,2025-01-25,319
23,Credit Card,2025-05-24,86
24,Bank Transfer,2023-06-03,211
25,Credit Card,2024-08-09,869
26,PayPal,2023-02-17,2
27,Credit Card,2024-08-26,128
28,Credit Card,2022-09-15,941
29,PayPal,2025-01-16,91
30,Bank Transfer,2024-05-31,878
31,Credit Card,2023-10-23,723
32,Credit Card,2022-08-16,615
33,Bank Transfer,2024-03-11,600
34,Credit Card,2025-02-19,559
35,Bank Transfer,2025-01-01,26
36,Bank Transfer,2025-02-20,663
37,PayPal,2022-07-01,254
38,Bank Transfer,2022-07-15,934
39,Bank Transfer,2024-01-23,434
40,Bank Transfer,2023-06-14,261
41,Credit Card,2024-06-07,150
42,Credit Card,2023-01-04,46
43,PayPal,2024-03-11,910
44,Bank Transfer,2022-09-26,419
45,PayPal,2024-10-29,598
46,PayPal,2024-08-07,10
47,PayPal,2023-09-10,468
48,PayPal,2024-12-15,445
49,Bank Transfer,2024-09-28,758
50,Bank Transfer,2022-08-09,538
51,PayPal,2024-08-16,68
52,Credit Card,2024-08-15,477
53,Credit Card,2025-02-17,984
54,Credit Card,2024-09-05,3
55,Credit Card,2023-09-02,614
56,PayPal,2025-03-01,180
57,Bank Transfer,2024-10-12,272
58,Bank Transfer,2022-12-09,130
59,PayPal,2024-02-19,946
60,Bank Transfer,2024-09-10,707
61,Bank Transfer,2022-12-01,811
62,Bank Transfer,2025-03-30,990
63,PayPal,2025-03-18,881
64,Credit Card,2022-11-19,585
65,Bank Transfer,2023-11-30,304
66,Credit Card,2023-01-01,537
67,Credit Card,2025-05-13,120
68,Bank Transfer,2023-03-11,135
69,Credit Card,2022-07-24,667
70,PayPal,2023-09-12,284
71,Bank Transfer,2023-05-02,206
72,Credit Card,2023-09-03,452
73,Bank Transfer,2022-08-05,596
74,Credit Card,2023-09-25,11
75,Credit Card,2022-11-22,846
76,Credit Card,2024-12-20,762
77,Credit Card,2023-01-12,610
78,Bank Transfer,2023-01-20,977
79,Credit Card,2022-09-07,450
80,PayPal,2024-03-05,99
81,PayPal,2023-11-20,509
82,PayPal,2023-07-24,728
83,PayPal,2022-07-23,562
84,Credit Card,2023-05-26,200
85,PayPal,2023-05-17,492
86,Credit Card,2025-01-21,454
87,PayPal,2023-02-24,601
88,PayPal,2024-04-13,809
89,Bank Transfer,2022-12-05,166
90,Bank Transfer,2023-12-22,155
91,Bank Transfer,2022-07-11,967
92,Credit Card,2023-03-11,613
93,Credit Card,2022-11-22,292
94,PayPal,2023-05-07,655
95,Bank Transfer,2024-08-11,851
96,PayPal,2025-04-26,410
97,Credit Card,2022-10-18,814
98,Credit Card,2023-01-29,715
99,Credit Card,2023-02-16,484
100,Credit Card,2025-05-23,105
101,Bank Transfer,2022-10-16,661
102,PayPal,2023-03-07,175
103,Bank Transfer,2023-11-17,482
104,Credit Card,2023-12-11,137
105,Bank Transfer,2022-11-21,461
106,Credit Card,2022-12-28,221
107,Credit Card,2023-05-19,697
108,Credit Card,2024-06-05,144
109,Credit Card,2025-06-17,447
110,PayPal,2025-04-18,699
111,Credit Card,2023-01-08,821
112,Bank Transfer,2024-10-28,994
113,PayPal,2024-04-10,907
114,Bank Transfer,2022-07-21,927
115,PayPal,2024-03-11,240
116,PayPal,2024-05-25,689
117,PayPal,2023-12-19,296
118,Credit Card,2024-05-25,462
119,PayPal,2025-04-01,52
120,Credit Card,2024-03-21,123
121,Credit Card,2023-03-29,501
122,PayPal,2022-09-26,233
123,Bank Transfer,2024-08-29,441
124,PayPal,2023-03-01,48
125,Credit Card,2024-06-11,970
126,PayPal,2024-06-02,900
127,Credit Card,2024-11-04,792
128,PayPal,2023-06-08,710
129,Bank Transfer,2023-07-08,995
130,Credit Card,2024-11-05,755
131,PayPal,2022-12-23,830
132,Bank Transfer,2024-10-23,111
133,PayPal,2024-09-21,423
134,Bank Transfer,2022-10-25,863
135,PayPal,2024-06-24,784
136,Credit Card,2025-02-08,368
137,Credit Card,2022-08-21,785
138,Credit Card,2022-10-10,267
139,Credit Card,2024-05-13,12
140,Bank Transfer,2024-01-23,515
141,PayPal,2024-01-04,15
142,Credit Card,2022-06-21,662
143,Bank Transfer,2023-11-28,380
144,Bank Transfer,2023-11-16,194
145,Credit Card,2023-02-05,84
146,PayPal,2024-06-04,487
147,Bank Transfer,2022-09-03,384
148,Bank Transfer,2024-03-29,87
149,Credit Card,2022-06-16,736
